response_id,language_have_worked_with,language_want_to_work_with,database_have_worked_with,database_want_to_work_with,platform_have_worked_with,platform_want_to_work_with,web_framework_have_worked_with,web_framework_want_to_work_with,development_environment_have_worked_with,development_environment_want_to_work_with,ai_model_have_worked_with,ai_model_want_to_work_with
11107,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;MicroPython;PowerShell;Python;TypeScript,,Microsoft SQL Server;PostgreSQL,,Amazon Web Services (AWS);Yarn,,ASP.NET;ASP.NET Core;Blazor;React,,Android Studio;Notepad++;PyCharm;Visual Studio;Visual Studio Code,,,
11108,Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);C;C++;Groovy;Python;SQL,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,APT;Docker;Make;Pip;Podman,APT;Make;Ninja;Pip;Podman,,,Neovim;Vim,Neovim;Vim,,
11109,,,,,,,,,,,,
11110,Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,MicroPython;R;Rust;Swift,Elasticsearch;H2;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis,Databricks SQL;Dynamodb;Neo4J;Snowflake;Amazon Redshift,Amazon Web Services (AWS);Datadog;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);New Relic;npm;NuGet;Pip,Cloudflare;Splunk;Terraform;Webpack,AngularJS;jQuery;Node.js;Spring Boot,Angular;Django;Flask;React,IntelliJ IDEA;Notepad++;PhpStorm;PyCharm;Visual Studio Code;WebStorm,Android Studio;Claude Code;RustRover,,
11111,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;Python;SQL,,Cassandra;H2;InfluxDB;MySQL;PostgreSQL;Redis;SQLite,,Amazon Web Services (AWS);Docker;Maven (build tool);npm;NuGet;Pip;Yarn,,Angular;jQuery;Spring Boot;WordPress,,IntelliJ IDEA;Notepad++;Vim;Visual Studio Code,,,
11112,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,,,,,Express;Node.js;React,,,,,
11113,Bash/Shell (all shells);Fortran;Lua;Python,Bash/Shell (all shells);Lua;Python;Rust,,,Docker;Make;Poetry,Docker;Make,,,Aider;Neovim,Aider;Neovim,Anthropic: Claude Sonnet;Mistral AI models;openAI GPT (chatbot models),Anthropic: Claude Sonnet;Mistral AI models;openAI GPT (chatbot models)
11114,Bash/Shell (all shells);C#;F#;Go;Java;JavaScript;Kotlin;Lua;OCaml;Python;Rust;Scala;TypeScript;Zig,Bash/Shell (all shells);C#;F#;Kotlin,MariaDB;PostgreSQL;Redis;SQLite,PostgreSQL;SQLite;Valkey,Bun;Cargo;Cloudflare;Docker;Gradle;NuGet;Pacman;pnpm,Cargo;Cloudflare;Docker;Gradle;Kubernetes;NuGet;Pacman,ASP.NET Core;Astro;Blazor;Node.js;Svelte;Axum,ASP.NET Core;Blazor,,,,
11115,C++,,,,,,,,,,,
11116,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,DuckDB;Dynamodb;Elasticsearch;InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite;Supabase;Valkey,DuckDB;Dynamodb;Elasticsearch;InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite;Supabase;Valkey,Amazon Web Services (AWS);APT;Cloudflare;Digital Ocean;Docker;Google Cloud;Homebrew;Kubernetes;Make;New Relic;npm;Pip;Podman;Prometheus;Supabase;Terraform,Amazon Web Services (AWS);APT;Cloudflare;Digital Ocean;Docker;Google Cloud;Homebrew;Kubernetes;Pip;Prometheus;Supabase,Angular;AngularJS;Django;FastAPI;Flask;jQuery;Node.js;React,FastAPI;jQuery,Vim;Visual Studio Code;Windsurf;Zed,Aider;Cline and/or Roo;Cursor;Vim;Visual Studio Code;Windsurf;Zed,Anthropic: Claude Sonnet;DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models),Anthropic: Claude Sonnet;DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models)
11117,,,,,,,,,,,,
11118,Bash/Shell (all shells);HTML/CSS;Python;Scala;TypeScript,Go;HTML/CSS;Python,Dynamodb;MongoDB;PostgreSQL;Redis;Supabase,Dynamodb;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);APT;Digital Ocean;Docker;Google Cloud;Pip;Poetry;Webpack,Amazon Web Services (AWS);APT;Docker;Pip;Poetry;Webpack,Django;Express;FastAPI,Django;FastAPI,Claude Code;Neovim,Claude Code;Cursor;Neovim;Zed,Anthropic: Claude Sonnet;Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
11119,HTML/CSS;JavaScript;TypeScript,,,,,,Express;jQuery;React,,Visual Studio Code,,openAI GPT (chatbot models),
11120,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;SQL;TypeScript;VBA,Kotlin;SQL,Elasticsearch;H2;Oracle;SQLite,PostgreSQL,,,Angular;Spring Boot,Spring Boot,Android Studio;IntelliJ IDEA;Notepad++;Visual Studio Code,IntelliJ IDEA;Notepad++,Gemini (Flash general purpose models);openAI GPT (chatbot models),Gemini (Flash general purpose models);Gemini (Pro Reasoning models)
11121,HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Python,MySQL,PostgreSQL,Cloudflare;Vercel,Docker,Next.js;Node.js;React,,Claude Code;Visual Studio Code,,,
11122,,,,,,,,,,,,
11123,,,,,,,,,,,,
11124,HTML/CSS;JavaScript;PHP;Python;R;SQL;VBA,C++;JavaScript,Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,,,,,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,,,
11125,Assembly;C;C#;C++;Go;MicroPython;Python;Rust;SQL;Visual Basic (.Net),C;C#;Go;Python;SQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,Microsoft SQL Server;MySQL;PostgreSQL;SQLite;Supabase,Ansible;APT;Cargo;Datadog;Digital Ocean;Docker;Homebrew;Kubernetes;Ninja;npm;Pip;Podman;Prometheus;Supabase;Yarn,Ansible;APT;Cargo;Digital Ocean;Docker;Homebrew;Ninja;Podman;Prometheus;Supabase,ASP.NET Core;Blazor;Django;FastAPI;Flask;React;Spring Boot,ASP.NET Core;Django;FastAPI;Flask,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Rider;RustRover;Sublime Text,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Rider;RustRover;Sublime Text,Anthropic: Claude Sonnet;Mistral AI models;openAI GPT (chatbot models),Anthropic: Claude Sonnet;Mistral AI models;openAI GPT (chatbot models)
11126,,,,,,,,,,,,
11127,Dart;Go;HTML/CSS;JavaScript;TypeScript,Rust,Firebase Realtime Database;SQLite;Supabase;Pocketbase,Cassandra;MongoDB;PostgreSQL;Redis,Bun;Chocolatey;Docker;Firebase;Gradle;Homebrew;npm;pnpm;Vercel;Vite;Yarn,Terraform,Next.js;React,Astro;Svelte;Vue.js,Android Studio;Cursor;Visual Studio Code,Lovable.dev,DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models),openAI GPT (chatbot models);X Grok models
11128,C#;Lua,Lua;Python,,,Microsoft Azure,,,,Notepad++;Visual Studio Code,,,
11129,HTML/CSS;JavaScript;Lisp;Python;SQL,Assembly;Bash/Shell (all shells);C;Elixir;Lisp;Python;R;Rust;SQL;Zig;Gleam,Microsoft SQL Server;SQLite,DuckDB;Elasticsearch;PostgreSQL;SQLite,,,,,,,,
11130,C#;HTML/CSS;JavaScript;PHP,C#;HTML/CSS;JavaScript;PHP,MySQL,MySQL,Composer;npm;Vite,Composer;npm;Vite,jQuery;Laravel,jQuery;Laravel,Notepad++;PhpStorm;Vim;Visual Studio,Notepad++;PhpStorm;Vim;Visual Studio,Mistral AI models;openAI GPT (chatbot models),Mistral AI models;openAI GPT (chatbot models)
11131,HTML/CSS;PHP;Python;SQL;TypeScript,HTML/CSS;PHP;Python;SQL;TypeScript,DuckDB;MySQL;PostgreSQL;SQLite;Amazon Redshift,DuckDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Composer;Docker;npm;pnpm;Vite,Composer;npm;Vite,Astro;Next.js;Node.js;React,FastAPI;Node.js;React;Symfony,Jupyter Notebook/JupyterLab;Visual Studio Code;Windsurf,Aider;Claude Code;Cline and/or Roo;Visual Studio Code;Zed,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Microsoft Phi-4 models,Anthropic: Claude Sonnet
11132,,,,,,,,,,,,
11133,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Dynamodb,Dynamodb;Amazon Redshift,Amazon Web Services (AWS);Google Cloud;npm;Vite;Webpack,Amazon Web Services (AWS);Google Cloud;npm;Vite;Webpack,Next.js;Node.js;React,Node.js;React,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Anthropic: Claude Sonnet,Anthropic: Claude Sonnet
11134,C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,,Microsoft Access;Microsoft SQL Server,,,,ASP.NET;ASP.NET Core;Blazor,,Notepad++;Visual Studio;Visual Studio Code,,,
11135,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Ruby;SQL,MySQL;Redis,MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Composer;Docker;Firebase;npm;Vite;Webpack,Composer;Docker;Firebase;Google Cloud;Vite,Laravel;Nuxt.js;Vue.js,Deno;Laravel;Ruby on Rails;Vue.js,Cursor;Visual Studio Code;Zed,PhpStorm;Visual Studio Code;Zed,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models),Anthropic: Claude Sonnet;Gemini (Flash general purpose models);X Grok models
11136,Bash/Shell (all shells);C#;C++;GDScript;HTML/CSS;JavaScript;Lua;PHP;PowerShell;Python;Rust;SQL;TypeScript,,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,BigQuery;Elasticsearch,Amazon Web Services (AWS);Cloudflare;Composer;Digital Ocean;Docker;Firebase;Google Cloud;Microsoft Azure;npm;Pip;Vite;Webpack,,Express;jQuery;Next.js;Node.js;React,,Notepad++;Visual Studio;Visual Studio Code;Windsurf,,Gemini (Flash general purpose models);openAI GPT (chatbot models),
11137,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Lisp;Lua;PHP;Python;Rust,Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Lisp;Lua;Perl;PHP;Python;Rust,PostgreSQL;SQLite,PostgreSQL;SQLite,APT;Cargo;Composer;Docker;Make;Podman;Prometheus;Webpack,APT;Cargo;Composer;Make;Podman;Prometheus,Svelte,Svelte,VSCodium,VSCodium,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models),DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models)
11138,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,,Elasticsearch;Microsoft SQL Server;Redis;SQLite,,Amazon Web Services (AWS);Cargo;Docker;Firebase;Gradle;npm;Prometheus;Terraform;Webpack;Yarn,,ASP.NET Core;React,,Visual Studio Code,,,
11139,Dart;Go;Swift,Swift,,,,,,,Android Studio;Cursor;Xcode,Xcode,,
11140,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Dart;Delphi;Elixir;Erlang,,BigQuery,,Cargo;Microsoft Azure,,,,,,,
11141,HTML/CSS;JavaScript;PHP;Ruby,HTML/CSS;JavaScript;R;Ruby;Swift,Microsoft SQL Server;MySQL;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Heroku;Homebrew;npm;Pip;pnpm;Yarn,Amazon Web Services (AWS);Digital Ocean;Docker;Heroku;Homebrew,jQuery;Node.js;Ruby on Rails;WordPress,Ruby on Rails;WordPress,Claude Code;Cursor;Sublime Text;Visual Studio Code;Xcode,Cursor;Visual Studio Code,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
11142,,,,,,,,,,,,
11143,Dart;HTML/CSS;JavaScript;SQL;TypeScript,C++;Rust,PostgreSQL,,Amazon Web Services (AWS);Cloudflare;Docker;Firebase;Google Cloud;npm;pnpm;Terraform;Vercel;Vite;Yarn,Supabase,Express;Next.js;Node.js;React,NestJS;Nuxt.js;Vue.js,Android Studio;IntelliJ IDEA;Visual Studio Code;Xcode,,,
11144,Bash/Shell (all shells);JavaScript;Python;TypeScript,Bash/Shell (all shells);Go;JavaScript;Python;Rust;TypeScript,BigQuery;Cloud Firestore,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis;Supabase,Docker;Google Cloud;Homebrew;Kubernetes;Make,Amazon Web Services (AWS);Cargo;Docker;Homebrew;Kubernetes;Make;Microsoft Azure,FastAPI,FastAPI;React,Cursor;Visual Studio Code,Cursor;Visual Studio Code;Windsurf,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Reasoning models;X Grok models,Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Reasoning models;X Grok models
11145,C#;HTML/CSS;Java;JavaScript,C#;HTML/CSS;Java;JavaScript;Python,,,Docker;Gradle;NuGet,Docker;Gradle;NuGet,,,Visual Studio;Visual Studio Code,Visual Studio,,
11146,,,,,,,,,,,,
11147,C#;JavaScript;PowerShell;SQL;TypeScript,C#;JavaScript;PowerShell;SQL;TypeScript,Cosmos DB;MySQL;PostgreSQL;SQLite,Cosmos DB;MySQL;PostgreSQL;SQLite,Docker;Microsoft Azure;npm;NuGet;pnpm,Docker;Kubernetes;Microsoft Azure;npm;NuGet;pnpm,Angular;ASP.NET;ASP.NET Core;Astro;Blazor;jQuery;Node.js,Angular;ASP.NET;ASP.NET Core;Astro;Blazor;jQuery;Node.js,IntelliJ IDEA;Notepad++;Visual Studio;Visual Studio Code,IntelliJ IDEA;Notepad++;Visual Studio;Visual Studio Code,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Microsoft Phi-4 models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Microsoft Phi-4 models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
11148,Bash/Shell (all shells);C;C#;Groovy;HTML/CSS;JavaScript;Perl;Python;Ruby,,PostgreSQL;SQLite,,Amazon Web Services (AWS);Ansible;Docker;Podman;Splunk;Terraform,,,,Vim,,,
11149,C#;HTML/CSS;JavaScript;PowerShell;SQL;VBA,,Microsoft Access;Microsoft SQL Server;Oracle,Cosmos DB;Redis,MSBuild;npm;NuGet;Splunk;Webpack,Docker;Kubernetes,React,,Notepad++;Visual Studio;Visual Studio Code,Android Studio,,
11150,Bash/Shell (all shells);GDScript;HTML/CSS;Python;R,GDScript;HTML/CSS;Python,,,,,,,,,,
11151,Bash/Shell (all shells);C#;C++;PowerShell;Python,,,,,,,,,,,
11152,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Dynamodb;Microsoft SQL Server;MySQL;SQLite,Dynamodb;Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Docker;Microsoft Azure;npm;NuGet;Webpack,Amazon Web Services (AWS);Docker;Microsoft Azure;npm;NuGet;Vite;Webpack,ASP.NET;ASP.NET Core,ASP.NET Core,Visual Studio;Visual Studio Code,Cursor;Visual Studio;Visual Studio Code,,
11153,,,,,,,,,,,,
11154,Delphi;HTML/CSS;JavaScript;PowerShell;Python;SQL,Delphi;HTML/CSS;JavaScript;PowerShell;Python;SQL,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;Supabase,Chocolatey;Docker;Firebase;npm;Pip,Chocolatey;Cloudflare;Docker;Firebase;Kubernetes;npm;Pip;Supabase,jQuery;Node.js;WordPress,jQuery;Node.js;Svelte;Vue.js;WordPress,Nano;Notepad++,Claude Code;Cursor;Lovable.dev;Nano;Notepad++;VSCodium;Windsurf,,
11155,C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,,Microsoft Access;MySQL;SQLite,,Docker;Firebase;Google Cloud;Homebrew;Microsoft Azure,,Django;Node.js,Angular;AngularJS,Eclipse;Nano;Notepad++;PyCharm;Sublime Text;Visual Studio Code,,Amazon Titan models,
11156,,,,,,,,,,,,
11157,HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,PostgreSQL,Elasticsearch;Oracle;PostgreSQL;Redis,Amazon Web Services (AWS);Datadog;Docker;Kubernetes;Maven (build tool);npm;Webpack,Amazon Web Services (AWS);Datadog;Docker;Kubernetes;Maven (build tool);npm;Webpack,Angular;Spring Boot,Angular;Spring Boot,Eclipse;IntelliJ IDEA;Notepad++;Visual Studio Code,Eclipse;IntelliJ IDEA;Notepad++;Visual Studio Code,,
11158,Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;PHP;SQL,,,,Amazon Web Services (AWS);Composer;Docker;Homebrew;Microsoft Azure;npm;Webpack,,jQuery;Node.js;Vue.js;WordPress,,Bolt;Visual Studio Code,,,
11159,Bash/Shell (all shells);C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Prolog;Python;R;Rust;SQL,,DuckDB;MySQL;Oracle;PostgreSQL;SQLite,,Docker;Firebase;Google Cloud;Gradle;Heroku;Kubernetes;NuGet;Pip;Poetry,,,,Cursor;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;Notepad++;PyCharm;Visual Studio Code;VSCodium;Xcode,,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,
11160,C#;JavaScript;Lua;PowerShell;SQL;TypeScript,C#;Lua;Scala;Zig;Mojo,Microsoft SQL Server,,,,ASP.NET;ASP.NET Core;jQuery,ASP.NET Core;jQuery,,,,
11161,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);HTML/CSS;Perl;PHP;Python;SQL,MariaDB;MongoDB;MySQL;PostgreSQL,MariaDB;MySQL,Amazon Web Services (AWS);APT;Cloudflare;Digital Ocean;Docker;Homebrew;Make;Microsoft Azure;New Relic;npm;Pip;Splunk,Amazon Web Services (AWS);APT;Cloudflare;Digital Ocean;Docker;Homebrew;Make;npm;Splunk,Angular;AngularJS;jQuery;Node.js;WordPress,WordPress,,,,
11162,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),C#;Go;HTML/CSS;JavaScript;MicroPython;PowerShell;Python;SQL;TypeScript,Microsoft Access;Microsoft SQL Server,Cosmos DB;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,Cloudflare;Microsoft Azure;MSBuild;NuGet;Splunk,Amazon Web Services (AWS);Ansible;Chocolatey;Cloudflare;Docker;Microsoft Azure;NuGet;Podman;Prometheus;Splunk;Terraform,ASP.NET;ASP.NET Core;jQuery,ASP.NET Core;Blazor;jQuery,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,,
11163,,,,,,,,,,,,
11164,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Dynamodb;PostgreSQL;SQLite,DuckDB;Dynamodb;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Docker;npm,Amazon Web Services (AWS);Cloudflare;Docker;npm,Express;Node.js;React,Node.js;React,Cursor,Cursor,Anthropic: Claude Sonnet;openAI GPT (chatbot models),Anthropic: Claude Sonnet;openAI GPT (chatbot models)
11165,C#;C++,,,,,,,,Visual Studio,,,
11166,C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL,,Cloud Firestore;Cosmos DB;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,,Cloudflare;Composer;Digital Ocean;Firebase;Google Cloud;Microsoft Azure;Netlify;npm;NuGet;Pip;Webpack;Yarn,,Angular;ASP.NET;ASP.NET Core;jQuery;Next.js;Node.js;React;WordPress,,Android Studio;Claude Code;Cursor;Visual Studio;Visual Studio Code;VSCodium;Windsurf;Xcode,,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;X Grok models,
11167,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,Elasticsearch;InfluxDB;Microsoft SQL Server;Snowflake;SQLite,Cassandra;Elasticsearch;MongoDB;PostgreSQL,Cloudflare;Docker;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet;pnpm;Vite;Webpack,Cloudflare;Docker;Firebase;Kubernetes;Microsoft Azure;npm;NuGet;pnpm;Vite,ASP.NET;ASP.NET Core;Next.js;Node.js;React,ASP.NET;ASP.NET Core;Next.js;Node.js;React,Claude Code;Notepad++;Visual Studio;Visual Studio Code,Claude Code;Cursor;Notepad++;Visual Studio;Visual Studio Code;Windsurf,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);openAI GPT (chatbot models);openAI Reasoning models
11168,Delphi;Go;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),JavaScript;PHP;SQL;TypeScript,Cloud Firestore;Dynamodb;Elasticsearch;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Clickhouse,Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Composer;Docker;Firebase;Google Cloud;Heroku;Kubernetes;Microsoft Azure;npm;pnpm;Prometheus;Terraform;Vercel;Vite;Webpack;Yarn,Amazon Web Services (AWS);Bun;Cloudflare;Composer;Docker;Kubernetes;npm;pnpm;Terraform;Vite,AngularJS;Express;jQuery;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Symfony;Vue.js,Express;NestJS;Node.js;React;Vue.js,,,,
11169,GDScript;HTML/CSS;JavaScript;Python,C++;GDScript;HTML/CSS;Java;JavaScript;TypeScript;VBA,MongoDB,Cassandra;MongoDB,,,Next.js;Node.js;React,Next.js;Node.js;React,Cursor;Visual Studio;Visual Studio Code,Android Studio;Cursor;Visual Studio;Visual Studio Code,openAI GPT (chatbot models),openAI GPT (chatbot models)
11170,Swift,Swift,,,,,,,Xcode,Xcode,,
11171,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,Go;Rust,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,,Amazon Web Services (AWS);APT;Cloudflare;Composer;Docker;Heroku;Homebrew;Kubernetes;New Relic;npm;Pip;Prometheus;Vite;Yarn,,jQuery;Node.js;Ruby on Rails;Symfony;Vue.js,,Claude Code;Cursor;Visual Studio Code;Windsurf;Xcode,,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models),
11172,C++;GDScript;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Assembly;C++;GDScript;HTML/CSS;JavaScript;Python;Rust;SQL,Microsoft Access;MongoDB;MySQL;SQLite,Microsoft Access;MySQL;SQLite,Make;npm;Pip;Vite,Make;npm;Pip,Express;Flask;Node.js;React,Express;Flask;Node.js,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio Code,,
11173,Bash/Shell (all shells);C#;C++;PowerShell;Python;Rust;SQL,Bash/Shell (all shells);C#;C++;Lua;PowerShell;Python;SQL,SQLite,PostgreSQL;SQLite,Ninja;Pip,Ninja;Pip,,,,,,
11174,Bash/Shell (all shells);PowerShell;R;SQL,Lua;Rust,DuckDB;Microsoft SQL Server;Snowflake,DuckDB;Clickhouse,Cargo;Chocolatey;Docker;Homebrew,Amazon Web Services (AWS);Cargo;Google Cloud,,,IntelliJ IDEA;RustRover;Visual Studio Code;Zed,Zed,,
11175,Bash/Shell (all shells);C++;Dart;Go;HTML/CSS;Kotlin;Python;SQL;Zig,Bash/Shell (all shells);C++;Go;Python,MongoDB;PostgreSQL;SQLite,MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Gradle;Heroku;Make;npm;Pacman;Pip;Poetry,Amazon Web Services (AWS);Cloudflare;Make;Pacman;Pip;Poetry;Prometheus,FastAPI,FastAPI,,,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);X Grok models,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);X Grok models
